X,LongitudinalElectricField,PlasmaDensity
9.999999776482582092e-03,-1.123945340514183044e-01,4.125048220157623291e-01
2.999999977693006484e-02,-1.087907254695892334e-01,7.959436178207397461e-01
4.999999977737754758e-02,-1.045824140310287476e-01,8.134102225303649902e-01
6.999999977782503380e-02,-1.004936993122100830e-01,7.937076091766357422e-01
8.999999977827251307e-02,-9.659209847450256348e-02,8.037981986999511719e-01
1.099999997787199923e-01,-9.274103492498397827e-02,8.260427117347717285e-01
1.299999997791674855e-01,-8.880963176488876343e-02,7.856119275093078613e-01
1.499999997796149509e-01,-8.477553725242614746e-02,8.134235143661499023e-01
1.699999997800624441e-01,-8.073609322309494019e-02,7.787814736366271973e-01
1.899999997805099372e-01,-7.676864415407180786e-02,8.101772069931030273e-01
2.099999997809574026e-01,-7.279346138238906860e-02,8.109481930732727051e-01
2.299999997814048958e-01,-6.867646425962448120e-02,7.882583141326904297e-01
2.499999997818523889e-01,-6.445690244436264038e-02,7.897849678993225098e-01
2.699999997822998821e-01,-6.032115221023559570e-02,7.713748216629028320e-01
2.899999997827473197e-01,-5.629894882440567017e-02,8.292837738990783691e-01
3.099999997831948129e-01,-5.219764634966850281e-02,7.914053797721862793e-01
3.299999997836423060e-01,-4.793649539351463318e-02,7.790033221244812012e-01
3.499999997840897992e-01,-4.370440170168876648e-02,7.762113213539123535e-01
3.699999997845372923e-01,-3.962692245841026306e-02,8.032355904579162598e-01
3.899999997849847300e-01,-3.552007675170898438e-02,8.217008709907531738e-01
4.099999997854322231e-01,-3.120324201881885529e-02,7.577924728393554688e-01
4.299999997858797163e-01,-2.682497724890708923e-02,7.797657251358032227e-01
4.499999997863272094e-01,-2.259664237499237061e-02,7.795770764350891113e-01
4.699999997867747026e-01,-1.840783283114433289e-02,8.283165693283081055e-01
4.899999997872221957e-01,-1.403483562171459198e-02,7.611563801765441895e-01
5.099999997876696334e-01,-9.566738270223140717e-03,7.605610489845275879e-01
5.299999997881171820e-01,-5.245266947895288467e-03,7.915948629379272461e-01
5.499999997885646197e-01,-1.028089318424463272e-03,8.020501732826232910e-01
5.699999997890120573e-01,3.341068979352712631e-03,7.874693870544433594e-01
5.899999997894596060e-01,7.890491746366024017e-03,7.518444061279296875e-01
6.099999997899070436e-01,1.235731504857540131e-02,7.758049964904785156e-01
6.299999997903545923e-01,1.660465821623802185e-02,7.882586717605590820e-01
6.499999997908020299e-01,2.085551619529724121e-02,8.165423274040222168e-01
6.699999997912494676e-01,2.533771842718124390e-02,7.562727928161621094e-01
6.899999997916970162e-01,2.989104203879833221e-02,7.614110112190246582e-01
7.099999997921444539e-01,3.421354293823242188e-02,7.744912505149841309e-01
7.299999997925920026e-01,3.838602453470230103e-02,8.287663459777832031e-01
7.499999997930394402e-01,4.275446757674217224e-02,7.768664956092834473e-01
7.699999997934868778e-01,4.733858630061149597e-02,7.451244592666625977e-01
7.899999997939344265e-01,5.179209262132644653e-02,7.755070924758911133e-01
8.099999997943818641e-01,5.599939450621604919e-02,8.020204901695251465e-01
8.299999997948294128e-01,6.027767062187194824e-02,8.120667934417724609e-01
8.499999997952768505e-01,6.482248753309249878e-02,7.461155056953430176e-01
8.699999997957242881e-01,6.934376060962677002e-02,7.557596564292907715e-01
8.899999997961718368e-01,7.356785982847213745e-02,7.982668876647949219e-01
9.099999997966192744e-01,7.774191349744796753e-02,8.313726782798767090e-01
9.299999997970668231e-01,8.221039921045303345e-02,7.519487738609313965e-01
9.499999997975142607e-01,8.678381145000457764e-02,7.478988170623779297e-01
9.699999997979618094e-01,9.106215834617614746e-02,7.859185934066772461e-01
9.899999997984092470e-01,9.514579921960830688e-02,8.396345973014831543e-01
1.009999999798856685e+00,9.946310520172119141e-02,7.688281536102294922e-01
1.029999999799304122e+00,1.040271669626235962e-01,7.564791440963745117e-01
1.049999999799751782e+00,1.084029823541641235e-01,7.632091045379638672e-01
1.069999999800199220e+00,1.124177873134613037e-01,8.251765966415405273e-01
1.089999999800646657e+00,1.164435818791389465e-01,8.189198970794677734e-01
1.109999999801094095e+00,1.208051890134811401e-01,7.633140087127685547e-01
1.129999999801541533e+00,1.252617537975311279e-01,7.593311667442321777e-01
1.149999999801989192e+00,1.293864995241165161e-01,7.858003377914428711e-01
1.169999999802436630e+00,1.332422941923141479e-01,8.495072126388549805e-01
1.189999999802884068e+00,1.372888833284378052e-01,7.887014150619506836e-01
1.209999999803331505e+00,1.416757702827453613e-01,7.713356018066406250e-01
1.229999999803778943e+00,1.459985673427581787e-01,7.648459672927856445e-01
1.249999999804226603e+00,1.498872935771942139e-01,8.009005188941955566e-01
1.269999999804674040e+00,1.535623222589492798e-01,8.696885704994201660e-01
1.289999999805121478e+00,1.574989706277847290e-01,7.764012813568115234e-01
1.309999999805568915e+00,1.616950482130050659e-01,7.810379862785339355e-01
1.329999999806016353e+00,1.656814515590667725e-01,7.835920453071594238e-01
1.349999999806464013e+00,1.692537516355514526e-01,8.357018232345581055e-01
1.369999999806911450e+00,1.728096604347229004e-01,8.577051162719726562e-01
1.389999999807358888e+00,1.767816394567489624e-01,7.787688970565795898e-01
1.409999999807806326e+00,1.809887439012527466e-01,7.746176123619079590e-01
1.429999999808253763e+00,1.848752796649932861e-01,7.888690233230590820e-01
1.449999999808701423e+00,1.882988661527633667e-01,8.600986599922180176e-01
1.469999999809148861e+00,1.917054802179336548e-01,8.458188176155090332e-01
1.489999999809596298e+00,1.954899728298187256e-01,7.901336550712585449e-01
1.509999999810043736e+00,1.994916945695877075e-01,7.956779599189758301e-01
1.529999999810491174e+00,2.032475620508193970e-01,7.987495660781860352e-01
1.549999999810938833e+00,2.065770924091339111e-01,8.440749049186706543e-01
1.569999999811386271e+00,2.097740620374679565e-01,8.649634718894958496e-01
1.589999999811833709e+00,2.132235914468765259e-01,8.129009604454040527e-01
1.609999999812281146e+00,2.169524878263473511e-01,8.080480098724365234e-01
1.629999999812728584e+00,2.206404209136962891e-01,8.133895993232727051e-01
1.649999999813176244e+00,2.239788323640823364e-01,8.208935856819152832e-01
1.669999999813623681e+00,2.269853204488754272e-01,8.696786761283874512e-01
1.689999999814071119e+00,2.299783229827880859e-01,8.589507937431335449e-01
1.709999999814518556e+00,2.332231700420379639e-01,8.260520696640014648e-01
1.729999999814965994e+00,2.366633415222167969e-01,8.275813460350036621e-01
1.749999999815413654e+00,2.399983555078506470e-01,8.287569284439086914e-01
1.769999999815861091e+00,2.429655939340591431e-01,8.402560353279113770e-01
1.789999999816308529e+00,2.455786466598510742e-01,8.920245170593261719e-01
1.809999999816755967e+00,2.480846941471099854e-01,8.742356896400451660e-01
1.829999999817203404e+00,2.506845593452453613e-01,8.615663647651672363e-01
1.849999999817651064e+00,2.533589601516723633e-01,8.709973692893981934e-01
1.869999999818098502e+00,2.559559643268585205e-01,8.636724352836608887e-01
1.889999999818545939e+00,2.583107650279998779e-01,8.814787864685058594e-01
1.909999999818993377e+00,2.603358626365661621e-01,8.988924026489257812e-01
1.929999999819441037e+00,2.621039152145385742e-01,9.130824208259582520e-01
1.949999999819888474e+00,2.638322710990905762e-01,9.250928163528442383e-01
1.969999999820335912e+00,2.657033503055572510e-01,8.993674516677856445e-01
1.989999999820783350e+00,2.677178382873535156e-01,8.947635293006896973e-01
2.009999999821230787e+00,2.697471678256988525e-01,8.998501896858215332e-01
2.029999999821678447e+00,2.716867923736572266e-01,9.040181636810302734e-01
2.049999999822125663e+00,2.734984159469604492e-01,9.068543314933776855e-01
2.069999999822573322e+00,2.751887440681457520e-01,9.197761416435241699e-01
2.089999999823020982e+00,2.767807245254516602e-01,9.187472462654113770e-01
2.109999999823468197e+00,2.782824635505676270e-01,9.242012500762939453e-01
2.129999999823915857e+00,2.796957194805145264e-01,9.282772541046142578e-01
2.149999999824363073e+00,2.810418903827667236e-01,9.377010464668273926e-01
2.169999999824810732e+00,2.823470234870910645e-01,9.301753044128417969e-01
2.189999999825258392e+00,2.836072742938995361e-01,9.383074045181274414e-01
2.209999999825705608e+00,2.848045229911804199e-01,9.402542114257812500e-01
2.229999999826153267e+00,2.859236896038055420e-01,9.437922835350036621e-01
2.249999999826600483e+00,2.869516611099243164e-01,9.485466480255126953e-01
2.269999999827048143e+00,2.878752946853637695e-01,9.530911445617675781e-01
2.289999999827495802e+00,2.886885702610015869e-01,9.618225693702697754e-01
2.309999999827943018e+00,2.893798053264617920e-01,9.628391265869140625e-01
2.329999999828390678e+00,2.899310290813446045e-01,9.714307785034179688e-01
2.349999999828837893e+00,2.903488278388977051e-01,9.839152693748474121e-01
2.369999999829285553e+00,2.906533181667327881e-01,9.827564954757690430e-01
2.389999999829733213e+00,2.908029854297637939e-01,9.923612475395202637e-01
2.409999999830180428e+00,2.906976044178009033e-01,9.968191981315612793e-01
2.429999999830628088e+00,2.903142869472503662e-01,1.025220513343811035e+00
2.449999999831075304e+00,2.897872924804687500e-01,1.037483453750610352e+00
2.469999999831522963e+00,2.892680466175079346e-01,1.014495015144348145e+00
2.489999999831970623e+00,2.887735962867736816e-01,1.027842760086059570e+00
2.509999999832417839e+00,2.882288098335266113e-01,1.024655461311340332e+00
2.529999999832865498e+00,2.875692248344421387e-01,1.035942196846008301e+00
2.549999999833312714e+00,2.867603600025177002e-01,1.037018060684204102e+00
2.569999999833760373e+00,2.857594490051269531e-01,1.054178953170776367e+00
2.589999999834208033e+00,2.845188379287719727e-01,1.054141044616699219e+00
2.609999999834655249e+00,2.830404639244079590e-01,1.079875707626342773e+00
2.629999999835102908e+00,2.814057469367980957e-01,1.086278676986694336e+00
2.649999999835550124e+00,2.796945273876190186e-01,1.079887866973876953e+00
2.669999999835997784e+00,2.779151797294616699e-01,1.089279890060424805e+00
2.689999999836445443e+00,2.760318219661712646e-01,1.096161484718322754e+00
2.709999999836892659e+00,2.740051448345184326e-01,1.099756598472595215e+00
2.729999999837340319e+00,2.717951536178588867e-01,1.106856703758239746e+00
2.749999999837787534e+00,2.693872451782226562e-01,1.126668334007263184e+00
2.769999999838235194e+00,2.668074369430541992e-01,1.125688314437866211e+00
2.789999999838682854e+00,2.640922665596008301e-01,1.136985063552856445e+00
2.809999999839130069e+00,2.612682282924652100e-01,1.141209602355957031e+00
2.829999999839577729e+00,2.583469152450561523e-01,1.148209571838378906e+00
2.849999999840024945e+00,2.553028762340545654e-01,1.148287296295166016e+00
2.869999999840472604e+00,2.520691156387329102e-01,1.161572098731994629e+00
2.889999999840920264e+00,2.485931366682052612e-01,1.173249244689941406e+00
2.909999999841367480e+00,2.448873370885848999e-01,1.189028978347778320e+00
2.929999999841815139e+00,2.410178631544113159e-01,1.190862774848937988e+00
2.949999999842262355e+00,2.370467931032180786e-01,1.204808712005615234e+00
2.969999999842710015e+00,2.329538911581039429e-01,1.198590517044067383e+00
2.989999999843157674e+00,2.286399304866790771e-01,1.209486842155456543e+00
3.009999999843604890e+00,2.240424007177352905e-01,1.239446163177490234e+00
3.029999999844052549e+00,2.192058712244033813e-01,1.240905642509460449e+00
3.049999999844499765e+00,2.141893208026885986e-01,1.248547434806823730e+00
3.069999999844947425e+00,2.089896947145462036e-01,1.260565876960754395e+00
3.089999999845395084e+00,2.035865783691406250e-01,1.267213702201843262e+00
3.109999999845842300e+00,1.980103403329849243e-01,1.285806298255920410e+00
