Complexity,Loss,Equation
1,0.22227876,"0.50352216"
2,0.22227874,"exp(-0.6861279)"
4,0.21120925,"exp(-0.42580798 / x0)"
5,0.21039201,"(x0 / (x0 + 0.6628663))"
6,0.14450002,"(x0 / (exp(x0) - x0))"
7,0.07307095,"(((-0.055899866 - x0) + 1.9266483) * x0)"
8,0.07038758,"(exp(x0 * (0.8889552 - x0)) * x0)"
9,0.034250278,"exp((exp(x0) - 2.5713882) * (1.1610451 - x0))"
10,0.0047660475,"exp(((x0 - 0.8305683) * (1.2329514 - x0)) / 0.16167453)"
11,0.0009275179,"exp(((x0 - 0.77377766) * (exp(0.20394892) - x0)) / 0.20394892)"
12,0.0008250772,"exp(((x0 - (0.8305683 + -0.052137565)) * (1.2329514 - x0)) / 0.16167453)"
13,0.00020868407,"exp(((exp(1.6713636) * (x0 - 0.9353871)) + 0.8869851) * (1.2329514 - x0))"
14,3.4741923e-5,"exp((x0 - 0.77377766) * ((exp(0.20394892) - x0) * (exp(0.97852564) / 0.48794138)))"
15,2.3188248e-5,"exp((x0 - 0.77377766) * ((exp(0.20394892) - x0) * ((4.0243897 - 0.77377766) - -2.3736324)))"
16,1.4463619e-5,"exp((((x0 - 0.65408826) / (0.107755125 / 1.2393967)) - 1.3782932) * ((1.2262951 - x0) * 0.4819535))"
17,1.4407305e-5,"exp((x0 - 0.77377766) * ((exp(0.20394892) - x0) * (((4.0243897 - 0.77377766) - -2.3736324) - 0.05757438)))"
19,1.415846e-5,"exp((x0 - 0.77378994) * ((exp(0.20395385) - x0) * (exp(exp(0.28561035 * (0.7869716 + 0.56224483))) - -1.2055953)))"
20,1.4156399e-5,"((exp((x0 - 0.77377295) * ((exp(0.20396002) - x0) * exp(exp(-0.1538552) + exp(-0.15385532)))) * x0) / x0)"
