Complexity,Loss,Equation
1,0.33523104,"0.47576293"
4,0.32371953,"(x0 / exp(x0))"
5,0.20550716,"((1.8289721 - x0) * x0)"
6,0.2044646,"((exp(0.61893135) - x0) * x0)"
7,0.2026257,"((1.8117378 - x0) * (x0 - 0.070693664))"
8,0.17930551,"(exp(-0.0121227065 * exp(exp(x0))) * x0)"
9,0.16585203,"exp((1.045823 - x0) * (exp(x0) + -3.0006447))"
10,0.14153056,"exp(((1.2025415 - x0) / 0.18178861) * (x0 + -0.8031526))"
14,0.14150806,"exp(((1.2026135 - x0) * (exp(exp(0.6883429)) - x1)) * (x0 + -0.8031027))"
15,0.14078298,"exp(((1.2026135 - x0) * ((exp(1.7134851) - x1) + 1.2026135)) * (x0 + -0.8031027))"
16,0.14075099,"exp(((1.2026135 - x0) * ((exp(1.2026135) - x1) + exp(1.2026135))) * (x0 + -0.8031027))"
17,0.14074321,"exp(((1.2026135 - x0) * ((exp(1.7134851) / 0.9492237) - x1)) * ((x0 + -0.8031027) / 0.876632))"
19,0.14074093,"(exp(((1.2026135 - x0) * ((exp(1.2026135) - (x1 + -1.4985965)) - -1.7925574)) * (x0 + -0.8031027)) - -0.0030888985)"
20,0.1407377,"exp(((1.2026135 - x0) * ((exp(1.2026135) - x1) + (exp(1.2026135) + (-0.039494783 * x1)))) * (x0 + -0.8031027))"
