Complexity,Loss,Equation
1,0.22227873,"0.5034763"
4,0.21120925,"exp(-0.42580995 / x0)"
5,0.073020816,"((1.8768873 - x0) * x0)"
7,0.06637439,"(((1.9781476 - x0) * x0) + -0.13771345)"
9,0.03526286,"(x0 / exp(exp((x0 + -1.4892544) / 0.14829183)))"
10,0.031229123,"(x0 / exp(((x0 + -1.0455147) * x0) * x0))"
11,0.014007154,"(x0 / exp(exp((x0 * x0) + -1.1723242) - x0))"
12,0.0027454766,"(x0 / exp(((x0 + -1.1723242) * (x0 + -0.68613786)) / 0.16137655))"
13,0.0018488134,"(x0 / exp(((x0 - 0.6364303) * exp(1.5012708)) * (x0 + -1.1723242)))"
14,0.0005335074,"(x0 / (exp(((x0 + -1.1185967) * (2.3715348 * x0)) * x0) / x0))"
15,0.000520798,"(x0 / (exp(((x0 + -1.1185967) * x0) * (exp(0.85242325) * x0)) / x0))"
16,0.0004772015,"((x0 / exp(((x0 + -1.088065) * (2.3612118 + x0)) * x0)) * (x0 * x0))"
18,0.000340634,"(x0 / (exp((x0 + -1.1185967) * (((x0 + x0) + -0.5562554) * (x0 + 0.6653472))) / x0))"
19,0.0002368936,"((x0 + -0.13659139) / ((exp((x0 + -1.1185967) * ((x0 + -0.13659139) + exp(x0))) / x0) / x0))"
20,0.00017895391,"(((x0 * x0) / exp(((x0 * x0) + -1.2923309) * (((0.58504516 * x0) + x0) - 0.41717327))) * 0.9370206)"
