Complexity,Loss,Equation
1,0.22227873,"0.5034763"
4,0.21120925,"exp(-0.42581105 / x0)"
5,0.07302081,"((1.8768858 - x0) * x0)"
7,0.06617388,"((x0 + -0.08648681) * (1.9147737 - x0))"
8,0.046407025,"(exp((1.8768858 - x0) * x0) + -1.2784996)"
9,0.022573741,"exp((exp(x0) - 3.5255873) * (0.83572865 - x0))"
10,1.4153977e-5,"exp(((x0 - 1.2262937) * (0.77376616 - x0)) / 0.18003553)"
11,1.4153301e-5,"exp(((x0 - 1.2262851) * (0.77376616 - x0)) * exp(1.714747))"
16,1.41532655e-5,"exp(((x0 - 1.2262851) * (0.77376616 - x0)) * ((exp(0.77376616) + 1.2293438) + exp(0.7690955)))"
17,1.4133285e-5,"exp(((x0 - 1.2262851) * (0.77376616 - x0)) * (exp(1.714747) - (x1 / exp(exp(1.7896553)))))"
18,1.4133166e-5,"exp(((x0 - 1.2262851) * (0.77376616 - x0)) * exp(1.714747 - (x1 / exp(1.168683 / 0.15295938))))"
19,1.4082222e-5,"exp(((x0 - 1.2262851) * (0.77376616 - x0)) * exp(1.714747 - ((x1 - 1.0248237) / exp(exp(1.7896553)))))"
20,1.4076966e-5,"exp(((x0 - 1.2262851) * (0.77376616 - x0)) * exp(1.714747 - ((x1 - 1.0827761) / exp(0.96469957 / 0.15295938))))"
