Complexity,Loss,Equation
1,0.22227873,"0.5034763"
4,0.21120925,"exp(-0.42580813 / x0)"
5,0.07304739,"((1.8724172 - x0) * x0)"
7,0.06805279,"((1.8724172 - x0) * (x0 + -0.057070192))"
9,0.04794124,"((x0 * x0) / exp(exp(x0) + -2.7289035))"
10,0.031229122,"(x0 / exp(((x0 - 1.0455388) * x0) * x0))"
11,0.015280593,"(x0 / exp((x0 + -1.1182035) * (exp(x0) - 1.5684737)))"
12,0.005289112,"(x0 / (exp(((x0 * x0) + -1.1921244) * x0) / x0))"
13,0.0040680543,"(x0 / exp(((x0 + -1.1186239) * (x0 - 0.6045327)) * exp(1.6536093)))"
14,0.00084906013,"((x0 / exp((((x0 + -1.1186239) * 2.4768426) * x0) * x0)) * x0)"
15,0.00080176344,"((x0 / exp((((x0 + -1.1185993) * x0) * exp(0.9029371)) * x0)) * x0)"
16,0.00052077364,"((x0 / exp((((x0 + -1.1186239) * 1.1731361) * (x0 + x0)) * x0)) * x0)"
18,0.00041088386,"(x0 / (((exp(((x0 * x0) + -1.1800542) * x0) / (x0 + -0.05877382)) / 0.7389221) + -0.4441521))"
20,0.00017685693,"(x0 / ((((exp(x0 * (x0 * x0)) - ((-1.2441313 / x0) + x0)) / x0) - -0.22535604) * 0.23781343))"
