Complexity,Loss,Equation
1,0.21699841,"0.49478254"
4,0.20339076,"exp(-0.4278434 / x0)"
5,0.07345266,"((1.8677042 - x0) * x0)"
6,0.073438555,"((exp(0.62647396) - x0) * x0)"
7,0.064801164,"(((2.0098536 - x0) * x0) - 0.18236972)"
9,0.036140118,"exp((1.2087964 - x0) * (exp(x0) + -2.4502692))"
10,0.0061474293,"exp(((0.7203836 - x0) / 0.20105858) * (x0 - 1.2528836))"
11,0.004157923,"exp(((1.4556662 / x0) - exp(x0)) * (x0 - 1.2132672))"
12,0.0004894873,"(exp(((0.7203836 - x0) / 0.17949176) * (x0 - 1.2528836)) * 0.89524573)"
14,0.00021719477,"exp(((((1.0779603 - x0) + 0.03793159) * (x0 - 0.885736)) / 0.1739293) + 0.20056097)"
15,8.064984e-5,"(exp((((0.7203836 - x0) / 0.20105858) - exp(-0.83793205)) * (x0 - 1.155194)) * x0)"
19,8.064983e-5,"(exp((((((0.7203836 - x0) / 0.20105858) - exp(-0.83793205)) * x0) / x0) * (x0 - 1.155194)) * x0)"
