Complexity,Loss,Equation
1,0.22227874,"0.5035224"
4,0.21120925,"exp(-0.42580894 / x0)"
5,0.073020816,"((1.8768873 - x0) * x0)"
8,0.07038758,"(exp((0.88894826 - x0) * x0) * x0)"
9,0.042635396,"exp((1.1656924 - x0) * (-2.292238 + exp(x0)))"
10,0.031229122,"(exp((1.0455234 - x0) * (x0 * x0)) * x0)"
11,0.0059624086,"exp((1.1656924 - x0) * (exp(x0) - (1.4875096 / x0)))"
12,0.0043234588,"exp((1.1656924 - x0) * (exp(x0) - (exp(0.48972714) / x0)))"
13,0.0014070396,"exp((1.2205071 - x0) * (((-2.148717 / x0) / 1.3315699) + exp(x0)))"
14,0.0008117214,"(x0 / (exp(((x0 - 1.1186134) * x0) * (x0 / 0.44869292)) / x0))"
16,0.0004969912,"((x0 * x0) / exp(((x0 - 1.1186134) * (x0 + 0.04855925)) * (x0 / 0.44869292)))"
18,0.0003669564,"((exp(((1.1628674 / x0) - x0) * (((x0 * x0) * 1.2687297) + -0.63009363)) * x0) * 1.1628674)"
20,0.00016784729,"(x0 / ((((((exp((x0 * x0) * x0) / x0) - -0.66408974) - 0.22346382) - x0) / x0) * 0.35057852))"
