Complexity,Loss,Equation
1,0.22057927,"0.50465065"
4,0.2112228,"exp(-0.42569408 / x0)"
5,0.21025518,"(x0 / (0.6681787 + x0))"
6,0.13419352,"((exp(0.7366923) - x0) * x0)"
8,0.07023951,"(exp((0.8846636 - x0) * x0) * x0)"
9,0.03383479,"exp((1.0867274 - x0) * (exp(x0) - 2.712374))"
10,0.016113682,"exp((0.7735654 - x0) * ((-1.2264956 + x0) / 0.3035811))"
11,0.00013459638,"exp((0.7735752 - x0) * ((-1.2264996 + x0) * exp(1.7591349)))"
12,3.110458e-5,"exp((0.77336997 - x0) * ((-1.2264956 + x0) * exp(exp(0.54846483))))"
13,1.6089785e-5,"exp((0.77336997 - x0) * ((-1.2264956 + x0) * (exp(1.5301956) - -0.94270337)))"
14,1.5979818e-5,"exp((0.7735654 - x0) * ((-1.2264956 + x0) * ((0.908267 + 0.07838487) / 0.17765786)))"
15,1.597113e-5,"exp((0.7735752 - x0) * ((-1.2264996 + x0) * ((exp(1.7591349) - 0.57408977) * 1.0616814)))"
19,1.5968815e-5,"exp((0.7735362 - x0) * ((-1.2265074 + x0) * ((exp(0.22131069) + exp(exp(0.27725726) - 0.11784197)) + 0.9823502)))"
