Complexity,Loss,Equation
1,0.22100146,"0.5009979"
2,0.22100145,"exp(-0.6910968)"
4,0.21056235,"exp(-0.4302892 / x0)"
5,0.07340477,"((1.875076 - x0) * x0)"
7,0.066321,"(((2.001584 - x0) * x0) + -0.16845137)"
9,0.059621684,"(((1.875076 - x0) * 1.3882699) * (x0 - 0.21205412))"
10,0.032117866,"(exp(((1.0423043 - x0) * x0) * x0) * x0)"
11,0.016242845,"(exp((1.0981057 - x0) * (exp(x0) - 1.6219361)) * x0)"
12,0.006537882,"(exp((1.1873096 - (x0 * x0)) * x0) * (x0 * x0))"
13,0.004560259,"(exp((1.1090314 - x0) * (exp(x0) - (1.1090314 / x0))) * x0)"
14,0.0028717178,"(((exp(1.2361187 - ((x0 * x0) * x0)) * x0) * x0) * x0)"
15,0.0022005138,"((exp(((exp(0.102129206) - x0) * (x0 / 0.43062356)) * x0) * x0) * x0)"
16,0.0020592967,"((exp((1.1090314 - x0) * (((x0 + x0) - -0.27688602) * x0)) * x0) * x0)"
17,0.0018380485,"(((exp((exp(1.2270025 - x0) - (x0 * x0)) * x0) * x0) * x0) * x0)"
18,0.001823168,"(exp((1.1873096 - (x0 * x0)) * ((x0 / 0.886295) - -0.47812244)) * ((x0 * x0) * x0))"
19,0.0016725474,"(exp((exp(1.225761 - x0) - (x0 * x0)) * (x0 / 0.9753025)) * ((x0 * x0) * x0))"
20,0.0015038601,"(((exp((0.82536113 - ((x0 * x0) * 1.2694954)) * x0) * x0) / ((0.9888264 / 2.0257223) / x0)) * x0)"
