Complexity,Loss,Equation
1,0.22227874,"0.503522"
4,0.21120925,"exp(-0.42580894 / x0)"
5,0.21039179,"(x0 / (x0 + 0.661575))"
6,0.14450002,"(x0 / (exp(x0) - x0))"
8,0.07038758,"(x0 / exp((x0 - 0.88894755) * x0))"
10,0.031229123,"(x0 / exp((x0 - 1.045517) * (x0 * x0)))"
11,0.015879964,"(x0 / exp((x0 - 1.0827422) * (exp(x0) + -1.7530116)))"
12,0.0010985835,"(x0 / exp((x0 + -1.1324269) * ((x0 - 0.63412344) / 0.21336287)))"
15,0.00030316252,"(x0 / (exp(((x0 + -1.1324269) * (x0 - 0.63412344)) * exp(1.528643)) - 0.032942705))"
17,0.00017768901,"((x0 / (exp((x0 - 1.0827422) * ((exp(x0) + x0) - 0.4702592)) / x0)) * x0)"
19,0.00014622648,"((x0 / (exp((x0 - 1.0827422) * ((exp(x0) + (x0 + 0.45897624)) - 0.8930189)) / x0)) * x0)"
