Complexity,Loss,Equation
1,0.22227873,"0.5034763"
4,0.21120925,"exp(-0.42580813 / x0)"
5,0.07302081,"((1.8768858 - x0) * x0)"
7,0.06617388,"(((2.0012484 - x0) * x0) - 0.16559923)"
9,0.008800111,"exp(-4.034978 * ((exp(x0) / x0) + -2.786672))"
10,1.4159102e-5,"exp((-0.773764 + x0) * ((1.226283 - x0) / 0.18007007))"
11,1.4153319e-5,"exp(((-0.773764 + x0) * exp(1.7147474)) * (1.226283 - x0))"
13,1.4153291e-5,"exp((-0.773764 + x0) * (((1.226283 - x0) / exp(-1.051072)) / 0.51495695))"
17,1.4091249e-5,"exp((-0.77378154 + x0) * (((1.226283 - x0) * exp((0.021838056 * x1) * -0.12183082)) / 0.17946608))"
19,1.4086757e-5,"exp((-0.77378154 + x0) * (((1.226283 - x0) * exp((0.021838056 * (x1 + 0.08048239)) * -0.12183082)) / 0.17946608))"
