Complexity,Loss,Equation
1,0.22227876,"0.5035217"
2,0.22227874,"exp(-0.6860738)"
4,0.21120925,"exp(-0.4258111 / x0)"
5,0.21039179,"(x0 / (x0 - -0.66157556))"
6,0.14450002,"(x0 / (exp(x0) - x0))"
8,0.07038758,"(x0 / exp((x0 + -0.8889482) * x0))"
10,0.031229123,"(x0 / exp((x0 * (x0 + -1.0455143)) * x0))"
11,0.015190948,"(x0 / exp((x0 - 1.1148047) * (exp(x0) - 1.6515762)))"
12,0.0052891527,"((x0 / exp(((x0 * x0) + -1.1918675) * x0)) * x0)"
13,0.005145139,"(x0 / exp((x0 - 1.1407179) * ((exp(x0) * x0) - 1.1407179)))"
14,0.000571658,"((x0 / exp((((x0 - 1.1148047) / 0.42556134) * x0) * x0)) * x0)"
16,0.0005195172,"((x0 * x0) / (exp((x0 - 1.1084065) * ((x0 * x0) * 2.2576923)) - 0.0156455))"
18,0.00044407355,"((x0 * x0) / (exp((x0 - 1.1084065) * ((x0 * x0) * 2.2576923)) - (0.0156455 / 0.5706829)))"
19,0.0002489819,"((x0 * x0) / exp(((exp(x0) + (-1.8373734 + x0)) - (-0.554257 * x0)) * (x0 - 1.108434)))"
20,0.00018489052,"(x0 / (exp((x0 - 1.1084065) * (((((1.1084065 - -0.48836043) + x0) * x0) + -1.1071142) + x0)) / x0))"
