Complexity,Loss,Equation
1,0.22227876,"0.5035217"
2,0.22227874,"exp(-0.68612903)"
4,0.21120925,"exp(-0.42580804 / x0)"
5,0.21039179,"(x0 / (x0 + 0.6615794))"
6,0.14450002,"(x0 / (exp(x0) - x0))"
7,0.07333467,"((1.6922336 + (0.2000134 - x0)) * x0)"
8,0.07038758,"(x0 / exp(x0 * (-0.8889733 + x0)))"
9,0.05490403,"(((x0 / 0.07483082) * x0) / exp(exp(x0)))"
10,0.031229123,"(x0 / exp(((-1.045514 + x0) * x0) * x0))"
11,0.014028935,"(x0 / exp(exp((x0 * x0) - 1.1774423) - x0))"
12,0.005346657,"(x0 / (exp(((x0 * x0) - 1.1815491) * x0) / x0))"
13,0.0025984333,"(x0 / exp((x0 - 1.1774423) * ((exp(x0) * x0) - 1.1774423)))"
14,0.0005644928,"(x0 / (exp((x0 - 1.1186292) / ((0.43475643 / x0) / x0)) / x0))"
15,0.0005488255,"(x0 / (exp(((x0 - 1.1186292) * x0) / (exp(-0.8369326) / x0)) / x0))"
16,0.00050170685,"(x0 / (exp((x0 - 1.1186292) / ((0.43508598 / x0) / (x0 - -0.031003812))) / x0))"
17,0.00029275272,"((0.4311417 / (exp((x0 - 1.274897) * exp(x0 + 0.39387664)) / (x0 * x0))) * x0)"
20,0.00025634863,"((x0 / exp(((x0 + -0.27090028) * 0.85460764) * ((x0 - 1.1186292) * ((x0 + 1.8329365) + x0)))) * x0)"
