Complexity,Loss,Equation
1,0.22227876,"0.50352246"
2,0.22227874,"exp(-0.68613017)"
3,0.22227873,"(0.6844372 * 0.7356063)"
4,0.21120925,"exp(-0.42580974 / x0)"
5,0.073020816,"((1.8768872 - x0) * x0)"
7,0.067559674,"((1.8768872 - x0) * (x0 - 0.070551865))"
9,0.042941928,"exp((2.235853 - exp(x0)) * (x0 - 1.2399945))"
10,0.013903731,"exp(((1.130104 - x0) / 0.25275865) * (x0 - 0.7691807))"
11,0.00065387913,"exp(((1.2326754 - x0) * (x0 - exp(-0.24585104))) / 0.16432993)"
13,2.0227111e-5,"exp((1.2262499 - x0) * ((x0 - exp(-0.25648764)) * exp(exp(0.53333455))))"
17,1.4155918e-5,"exp((1.2262499 - x0) * ((x0 - exp(-0.25648764)) * (exp(exp(0.046862677)) + (1.2498424 / 0.4623637))))"
20,1.4154555e-5,"exp((1.2262728 - x0) * ((x0 - exp(-0.2564948)) * ((exp(1.2262288 / 0.62901795) - exp(exp(-0.29906195))) + 0.62888014)))"
