Complexity,Loss,Equation
1,0.2573964,"Ef"
3,0.25636226,"(Ef - 0.03215151)"
5,0.23265547,"((v * F_x) * -0.12882856)"
7,0.21101739,"((v * E_x) * (-0.15324393 * F_u))"
9,0.21046355,"(((v - -0.016194414) * E_x) * (-0.15324393 * F_u))"
11,0.20363149,"(((Ef / 0.32431304) + v) * ((-0.10215612 * F_x) - v))"
13,0.20136796,"(((Ef / 0.32431304) + v) * (((-0.10215612 * F_x) - v) - v))"
15,0.19900265,"(((Ef / 0.34146035) + v) * (((-0.08707224 / (0.84904486 - E_x)) * F_x) - v))"
17,0.19865948,"((((Ef / 0.3777669) + v) * (((-0.08707224 / (0.84904486 - E_x)) * F_x) - v)) + 0.011616695)"
19,0.19711979,"(((Ef / 0.34146035) + v) * (((-0.08707224 / ((0.84904486 - E_x) - (E_x * v))) * F_x) - v))"
