Complexity,Loss,Equation
1,0.2573964,"E_f"
3,0.25636226,"(E_f - 0.03215084)"
5,0.23264992,"((v * -0.1269778) * F_x)"
7,0.08461145,"((E_f * F_u) - (v * F_x))"
9,0.06677843,"(((E_f * F_u) - (v * F_x)) / 1.3046343)"
11,0.057915505,"(((E_f * F_u) - ((v + 0.021128315) * F_x)) / 1.1938549)"
13,0.052189022,"(((E_f * F_u) - ((v + 0.021128315) * (F_x - 0.38822335))) / 1.1938549)"
15,0.050942943,"(((E_f * (F_u + -0.68833464)) - ((v + 0.021128315) * (F_x - 0.38822335))) / 1.1938549)"
17,0.049705222,"((((E_f * F_u) - E_f) - ((v + (0.00777727 / 0.48415557)) * (F_x - 0.5057297))) / 1.211471)"
19,0.049002055,"((((E_f * F_u) - ((v + ((0.5057297 + v) * 0.031782366)) * (F_x - 0.5057297))) / 1.29767) - E_f)"
