Complexity,Loss,Equation
1,0.2573964,"E_f"
3,0.25636226,"(E_f + -0.032151125)"
5,0.23264991,"(F_x * (v * -0.1269464))"
7,0.21075742,"((E_x * v) * (-0.16539358 * F_u))"
9,0.19270933,"(v * ((F_x + (E_x * F_u)) * -0.1359719))"
11,0.18325673,"((v + E_f) * ((F_x + (E_x * F_u)) * -0.1269464))"
13,0.18095127,"((v + E_f) * (((F_x + (E_x * F_u)) - E_xx) * -0.1269464))"
15,0.18023199,"((v + E_f) * (((F_x + ((E_x * F_u) - E_xx)) - E_xx) * -0.1269464))"
17,0.17659825,"((v + (E_f / (0.6304246 + E_x))) * (E_x * (-0.13131383 * (F_u + (F_x / E_x)))))"
19,0.17374574,"((v + (E_f / (0.6291559 + E_x))) * ((E_x * (-0.13131383 * (F_u + (F_x / E_x)))) - v))"
