Complexity,Loss,Equation
1,0.2573964,"E_f"
3,0.25636226,"(E_f + -0.03215091)"
5,0.23265167,"(F_x * (-0.12800886 * v))"
7,0.21240813,"((E_x * F_u) * (-0.13477446 * v))"
9,0.19275773,"((F_x + (E_x * F_u)) * (-0.12833573 * v))"
11,0.18341579,"(((E_x * F_u) + F_x) * (-0.123747416 * (v + E_f)))"
13,0.18166448,"((((E_x * F_u) - E_xx) + F_x) * (-0.117704645 * (v + E_f)))"
15,0.18078934,"(((E_x * F_u) + (F_x + (E_xx / -0.8111069))) * (-0.123747416 * (v + E_f)))"
17,0.18023817,"(((E_x * F_u) + (v + (F_x + (E_xx / -0.70277417)))) * (-0.123747416 * (v + E_f)))"
19,0.18003152,"(((E_x * F_u) + (v + ((F_x + (E_xx * -0.8111069)) - E_xx))) * (-0.123747416 * (v + E_f)))"
