Complexity,Loss,Equation
1,0.2573964,"E_f"
3,0.25636226,"(E_f - 0.03215094)"
5,0.23264991,"(F_x * (-0.12694535 * v))"
7,0.21075743,"((-0.16539434 * v) * (E_x * F_u))"
9,0.19267628,"(-0.13308102 * (v * (F_x + (E_x * F_u))))"
11,0.18318492,"(((F_u * E_x) + F_x) * (-0.13097921 * (v + E_f)))"
13,0.06349387,"(((((1.4523654 - F_u) * E_f) / v) + F_x) * (-0.7858434 * v))"
15,0.059009712,"((((((1.5803039 - F_u) * E_f) / v) - 0.59403753) + F_x) * (-0.7615929 * v))"
17,0.056905076,"((((((1.5803039 - F_u) * E_f) / v) - 0.59403753) + (F_x / 0.92722064)) * (-0.7615929 * v))"
19,0.056300856,"(((((((1.5803039 - F_u) * 1.0433668) * E_f) / v) - 0.59403753) + (F_x / 0.92722064)) * (-0.7615929 * v))"
