Complexity,Loss,Equation
1,0.2573964,"E_f"
3,0.25636226,"(E_f - 0.032151468)"
5,0.23264992,"((v * F_x) * -0.12697846)"
7,0.21084738,"((E_x * (v * F_u)) * -0.1582474)"
9,0.06677843,"(-0.7665028 * ((v * F_x) - (E_f * F_u)))"
11,0.05831836,"(-0.784024 * (((v - -0.011731595) * F_x) - (E_f * F_u)))"
13,0.054989,"(-0.83176965 * (((v + 0.026529681) * (F_x + -0.34006533)) - (E_f * F_u)))"
15,0.052863203,"(-0.784024 * (((v - -0.011731595) * (F_x - 0.77178913)) - (E_f * (F_u + -0.68195593))))"
17,0.05183087,"(-0.784024 * (((v - -0.011731595) * (F_x - 0.63884115)) - (E_f * ((F_u + -0.68195593) - 0.82864994))))"
19,0.051535603,"(-0.784024 * (((v - -0.011731595) * (F_x - 0.63884115)) - (E_f * ((F_u + (-0.68195593 + -1.3072416)) + 0.82864994))))"
