Complexity,Loss,Equation
1,0.2573964,"E_f"
3,0.25636226,"(E_f + -0.03215094)"
5,0.23264991,"((v * -0.12699658) * F_x)"
7,0.2107593,"(((-0.1643687 * F_u) * v) * E_x)"
9,0.08461145,"(((E_f / (F_x / F_u)) - v) * F_x)"
11,0.06677843,"((((E_f / (F_x / F_u)) - v) * F_x) * 0.7665501)"
13,0.05715144,"((((E_f / (F_x / F_u)) - (v + 0.01725556)) * F_x) * 0.81010824)"
15,0.052400555,"((((((E_f + -0.0027478205) / (F_x / F_u)) + -0.01924409) - v) / 1.1891075) * F_x)"
17,0.05095868,"((((((E_f + -0.0027478205) / (F_x / (F_u - 0.9343855))) - 0.01725556) - v) / 1.1891075) * F_x)"
19,0.047930233,"(((((((E_f + -0.0019883811) / (F_x / F_u)) + -0.01924409) - v) * F_x) / 1.183101) - (v / -2.6056724))"
