Complexity,Loss,Equation
1,1368.7241,"23.599974"
3,1323.278,"(23.621319 + x0)"
5,1175.5891,"(23.769283 + (x0 * 7.9661837))"
9,1070.9403,"(((x0 + -2.8684855) * (x0 * -2.8684855)) + 41.06238)"
10,818.60693,"exp(((4.136136 + (x0 * -3.082747)) * x0) + 2.6656454)"
11,769.5727,"exp(((4.136136 + (x0 * -3.082747)) * x0) + exp(1.0060579))"
12,24.135855,"exp((((4.136136 + x0) + (x0 * -3.082747)) * x0) + 2.6656454)"
13,23.903921,"exp((((4.136136 + x0) + (x0 * -3.082747)) * x0) + exp(0.98299813))"
14,23.579288,"exp(((((2.0480072 + 2.0439887) + (x0 * -3.0475056)) + x0) * x0) + 2.682747)"
16,23.57287,"(exp((((4.0627728 + (x0 * -3.033691)) * x0) + 2.696446) + (x0 * x0)) + 0.010386009)"
