Complexity,Loss,Equation
1,1.8280941,"0.98943603"
4,1.7428601,"exp(-0.047303386 / x0)"
6,1.6557264,"x0 * (3.6433544 - exp(x0))"
7,1.0201524,"(x0 - 0.9162291) * (x0 * -9.110391)"
9,0.63571346,"exp((x0 * 9.629397) - exp(x0 * 2.676104))"
10,0.0033739144,"exp((x0 - 0.66514266) * ((x0 * -50.641357) - -16.915426))"
12,0.003373258,"exp((((x0 * -50.868248) / 1.0051022) - -16.903397) * (x0 - 0.6651927))"
13,0.0033710876,"exp(((x0 * (-51.00442 + exp(-0.68407035))) - -16.858189) * (x0 - 0.6654666))"
14,0.0033683153,"exp(((x0 - 0.6657463) * (((x0 * -50.86827) / 1.0040725) - -16.903345)) + -0.007903617)"
15,0.0033569327,"exp((x0 - 0.6656402) * (((x0 * -51.18815) + exp(x0 - 0.74012166)) - -16.426847))"
16,0.0033474022,"exp((((-50.84752 - (-0.62415797 * (x0 * x0))) * x0) - -16.970547) * (x0 - 0.66554546))"
18,0.0033225296,"exp((((-50.84752 - ((-1.1302316 * x0) * (x0 * x0))) * x0) - -16.970547) * (x0 - 0.66554546))"
19,0.0033146434,"exp(((x0 * (-50.84752 - (x0 - (x0 * exp(x0 * x0))))) - -16.970547) * (x0 - 0.66554546))"
21,0.0033073656,"exp((x0 - 0.6658386) * (((-50.846302 - (((x0 * x0) * (x0 * -0.626227)) * exp(x0))) * x0) - -16.983786))"
22,0.0033027383,"exp((((x0 * x0) * (x0 * ((x0 * x0) / 0.42181334))) + ((x0 * -50.84752) - -16.970547)) * (x0 - 0.66554546))"
23,0.0032227947,"exp((((x0 * -55.885567) - (x0 * (((x0 + 0.6836661) * (exp(x0) * -1.5053939)) - x0))) - -17.87542) * (x0 - 0.6663284))"
25,0.00321017,"exp((((x0 * -55.89619) - (exp(x0) * (x0 * (((exp(exp(x0)) * -0.10293256) - x0) - 1.1034241)))) - -17.849808) * (x0 - 0.66651225))"
28,0.003201321,"exp((((x0 * -55.88581) - (((exp((x0 - 0.37424833) * (x0 * x0)) * (-1.5056176 - x0)) * exp(x0)) * x0)) - -17.874638) * (x0 - 0.6662069))"
