Complexity,Loss,Equation
1,1.8178462,"0.9987578"
4,1.7381605,"exp(-0.046572562 / x0)"
6,1.6769439,"exp(x0 * (0.8608442 - x0))"
7,1.0916942,"(x0 - (x0 * x0)) * 7.1947813"
9,0.8549758,"((x0 - (x0 * x0)) * 13.138597) - 1.1887708"
10,0.6020237,"exp((x0 * -5.957978) * (x0 - 1.0142325)) - 2.1317892"
12,0.006287115,"exp(((26.13059 - ((x0 * x0) * 34.266518)) * x0) - 7.394089)"
14,0.0056684,"exp((x0 * (23.106993 - (x0 * (x0 * 32.90457)))) - 5.3590055) * x0"
16,0.0056618233,"exp(((23.079363 - ((x0 * x0) * 32.899498)) * x0) + -5.143285) * (x0 * 0.8171255)"
18,0.0053523406,"x0 * exp((x0 - 5.104095) + ((x0 * (22.098373 - ((x0 * x0) * 33.066658))) / 1.0356301))"
24,0.0052785976,"x0 * exp((x0 - (x0 * ((x0 * (x0 * (1.1863073 - (x0 + -31.778015)))) - 21.592249))) - ((x0 + 5.1594687) - x0))"
26,0.005236729,"(x0 * exp((x0 - (x0 * ((x0 * (x0 * (1.1863073 - (x0 + -31.778015)))) - 21.592249))) - ((x0 + 5.1594687) - x0))) / 1.0038223"
29,0.0045157317,"(((x0 * 1.9356655) - 0.2683178) * (1.8758589 / exp(x0))) * exp(((x0 - ((((x0 * 30.810076) * x0) - 22.634092) * x0)) - (x0 + 5.3542914)) - x0)"
