Complexity,Loss,Equation
1,1.8203154,"0.9989895"
4,1.7403872,"exp(-0.04662265 / x0)"
6,1.6791586,"exp(x0 * (0.8618557 - x0))"
7,1.0124159,"x0 * ((x0 * -9.192658) + 8.395441)"
9,0.9510335,"x0 * (((x0 * -6.9888644) * x0) + 5.6949754)"
11,0.64308906,"exp((x0 - exp(-0.49733108)) * (11.452977 - (x0 * 45.05155)))"
13,0.42713627,"exp(((11.452977 - (x0 * 45.05155)) + 0.92528135) * (x0 - exp(-0.49733108)))"
14,0.0046645794,"exp(((x0 * x0) - 0.43334484) * (11.452977 - ((x0 * 45.05155) + -3.4943573)))"
16,0.0031631757,"exp((18.545307 - ((x0 * 4.854718) + (x0 * (50.449047 - x0)))) * (x0 - 0.6590203))"
18,0.0026954142,"exp((x0 + ((15.080316 - (x0 * (x0 * 26.174597))) * x0)) + -2.1190307) * (x0 - 0.22292508)"
20,0.0024417094,"((x0 - 0.2282216) * exp((x0 + ((15.044416 - ((x0 * 26.219437) * x0)) * x0)) + -2.0814588)) - -0.021376435"
23,0.0011641197,"(x0 * exp((exp((x0 - ((x0 * (x0 * 3.5225127)) * x0)) + x0) - 1.1127975) * 5.452422)) * (x0 * x0)"
25,0.0007638584,"((x0 * (x0 * exp((exp((x0 - (x0 * ((x0 * 3.5422795) * x0))) + x0) - 1.0910922) * 5.315472))) - 0.05480142) * x0"
27,0.00034180697,"(((exp((exp(x0 + (x0 - ((x0 * x0) * (x0 * 3.5854259)))) - 1.0465828) * 5.063521) + 0.83538586) * x0) - 0.8197664) * (x0 * x0)"
29,0.00032952256,"(((x0 * (exp((exp((x0 + x0) - ((x0 * (x0 * 3.5767465)) * x0)) - 1.0532843) * 5.0973835) + 0.8257197)) - 0.81888384) * (x0 * x0)) + 0.008509645"
