Complexity,Loss,Equation
1,1.8230251,"0.99966305"
4,1.7430184,"exp(-0.046402648 / x0)"
6,1.6578286,"x0 * (3.6550474 - exp(x0))"
7,1.0185171,"x0 * ((x0 * -9.175625) - -8.384515)"
8,0.9861791,"(11.588642 - (exp(x0) * 4.6802974)) * x0"
9,0.8608734,"((x0 * -13.137147) + 1.3225319) * (x0 - 0.89962393)"
10,0.0035242224,"exp((x0 + -0.33289936) * ((x0 * -49.282116) + 32.89089))"
12,0.0033620992,"exp(((x0 + -0.41755402) * ((x0 * -50.412926) + 29.359251)) + 1.043633)"
14,0.0033515778,"(exp((x0 + -0.47660822) * ((x0 * -50.473522) + 26.418962)) + 0.0011486296) / 0.2574973"
16,0.0033515668,"((exp(((x0 * -50.4715) + 26.418756) * (x0 + -0.47663006)) / 0.5360121) / 0.48032448) + 0.004341353"
17,0.0033512225,"(exp(x0) * 0.0027072048) + (exp((x0 + -0.4763745) * ((x0 * -50.47206) + 26.427515)) / 0.25765505)"
19,0.003350794,"(exp(((x0 * -50.473442) + 26.419336) * (-0.47655186 + x0)) / 0.2574413) + ((0.9369584 + exp(x0)) * 0.0016342681)"
20,0.0033507443,"(exp(((x0 * -50.473442) + 26.419336) * (x0 + -0.47655186)) / 0.2574413) + (exp(exp(x0 + -0.660046)) * 0.0016342681)"
25,0.0033506423,"(exp((26.431692 + (x0 * -58.740246)) * ((x0 + -0.5500251) * 0.85850143)) / 0.2840136) - (exp(((x0 * x0) * x0) + 0.76416886) * -0.0012334447)"
26,0.0033504767,"(exp(((x0 * -58.740246) + 26.431692) * ((x0 + -0.55001575) * 0.8585018)) / 0.28402773) - (exp(exp(x0 * ((x0 + -1.3174326) + x0))) * -0.0012360188)"
27,0.003350476,"(exp((x0 + -0.5500251) * (((x0 * -58.740246) + 26.431692) * 0.85850143)) / 0.2840136) - (exp(((x0 * x0) * (x0 * x0)) + 0.76416886) * -0.0012334447)"
28,0.0033501359,"(exp((((x0 * -58.740246) + 26.431692) * 0.85850143) * (x0 + -0.5500251)) / 0.2840136) - (exp(exp((x0 + x0) * ((x0 - 0.64122987) * x0))) * -0.0012334447)"
30,0.0033500837,"(exp((((x0 * -58.740246) + 26.431696) * (x0 + -0.5500357)) * 0.8584889) / 0.28404564) - (exp(exp(((x0 * (x0 + (x0 + -0.55002886))) - 0.6412272) * x0)) * -0.0012272944)"
