Complexity,Loss,Equation
1,1.827829,"0.99712795"
5,1.7688224,"1.3305216 - (x0 * x0)"
6,1.6865294,"exp((0.85887694 - x0) * x0)"
7,1.0160908,"x0 * ((x0 * -9.209808) - -8.404392)"
8,0.9831999,"x0 * (4.6987042 * (2.4735568 - exp(x0)))"
9,0.8558937,"((0.99962544 - x0) * (x0 * 13.19735)) + -1.197807"
10,0.08098125,"exp(((0.70527774 - x0) * (0.32509434 - x0)) * -34.32156)"
12,0.08098124,"exp(((0.70527774 - x0) * (5.2469497 * (0.32509434 - x0))) * -6.5412407)"
14,5.085542e-5,"exp(((0.66558534 - x0) * (1.9364718 + ((-4.8029366 * x0) - x0))) * -8.669)"
16,4.712624e-5,"exp(((x0 * 3.8531027) + -2.565043) * ((x0 + ((x0 * 4.4631886) + -1.8238058)) * -2.390755))"
18,4.6950972e-5,"exp(x0 + ((((x0 * 3.9038534) + -2.431678) * (((x0 * 4.3996353) + -1.9265041) + x0)) * -2.3879147))"
20,4.5665605e-5,"exp(x0 + ((-1.9259189 + (x0 + (4.400062 * x0))) * (((x0 * 3.8950925) + -2.4264514) * -2.3902829))) + -0.0014147552"
24,4.5466437e-5,"(x0 - (x0 / 0.9966716)) + exp(((((x0 * 3.8950925) + -2.4264514) * (((x0 * 4.400062) + -1.9259189) + x0)) * -2.3902829) + x0)"
