Complexity,Loss,Equation
1,1.8223643,"0.99701494"
5,1.7661016,"1.33068 - (x0 * x0)"
6,1.6816052,"exp((0.86148286 - x0) * x0)"
7,1.0143448,"((x0 - 0.91351986) * -9.176812) * x0"
9,0.85296077,"((x0 * -13.078223) * (x0 - 0.99962294)) - 1.1848131"
10,7.8733894e-5,"exp((-33.35736 - (x0 * -50.06698)) * (0.33372393 - x0))"
12,7.8731566e-5,"exp(((-33.251778 - (x0 * -50.06698)) + -0.10558295) * (0.33373877 - x0))"
15,7.440014e-5,"exp((0.33361003 - x0) * ((((exp(x0) * 0.30318773) - -49.16895) * x0) + -33.142735))"
17,7.136397e-5,"exp(((((x0 * exp(x0 - 1.021379)) + 48.99917) * x0) + -32.9518) * (0.3335128 - x0))"
19,6.995592e-5,"exp((0.33361003 - x0) * (((exp((x0 * x0) - 0.9630845) * x0) - (-49.16895 * x0)) + -33.142735))"
23,6.6400615e-5,"exp((((exp((x0 * (x0 * -198.11002)) + 3.6276345) - x0) * -50.019093) + -33.32569) * (((x0 + 0.33372876) - x0) - x0))"
28,6.6162946e-5,"exp((((exp((((x0 * (x0 * -198.11002)) + 3.6276345) * exp(x0)) + 1.1195384) - x0) * -50.019093) + -33.32569) * (((x0 + 0.33372876) - x0) - x0))"
29,6.574587e-5,"exp((((x0 + 0.33372876) - x0) - x0) * ((-50.019093 * (exp(((((x0 * x0) * -198.11002) + (3.6276345 - -0.858368)) * 1.985668) + 1.1195384) - x0)) + -33.32569))"
