Complexity,Loss,Equation
1,1.8192879,"0.99664825"
5,1.7491657,"x0 / (0.043144066 + x0)"
6,1.679222,"exp((0.838789 - x0) * x0)"
7,1.0147861,"(x0 + -0.9137317) * (x0 * -9.16204)"
9,0.85484356,"(x0 * (13.158799 - (x0 * 13.149349))) + -1.197381"
10,0.47883,"exp((0.7693262 - x0) * (x0 * 12.6927595)) * x0"
11,0.30525774,"x0 * exp(exp(x0 * 4.2606573) * (0.6968334 - x0))"
12,0.00032199433,"exp((x0 + (x0 + -0.66886836)) * (16.586485 - (x0 * 24.820766)))"
14,3.7910733e-5,"exp((((x0 * -15.754382) + 5.2651668) * 1.5952972) * (x0 + (x0 + -1.3320287)))"
16,3.6842546e-5,"exp((x0 + (-1.3320287 + x0)) * (-0.004955449 + ((5.2651668 - (15.749427 * x0)) * 1.5952972)))"
20,3.6842503e-5,"exp((x0 + (x0 + -1.3320287)) * (((5.2651668 - (((x0 + 15.749427) - x0) * x0)) * 1.5952972) + -0.004955449))"
21,3.6287835e-5,"exp(((x0 + -1.3321384) + x0) * ((5.1286383 - ((exp((x0 * 0.52428025) - x0) - -14.494486) * x0)) * 1.6580647))"
23,3.512786e-5,"exp(((x0 + -1.3323613) + x0) * ((5.12577 - ((exp((x0 - x0) - (x0 * 0.5238219)) - -14.49566) * x0)) * 1.6606963))"
