Complexity,Loss,Equation
1,1.82263,"0.9963955"
5,1.7665958,"1.3303365 - (x0 * x0)"
6,1.6827134,"exp(x0 * (0.8317587 - x0))"
7,1.0181037,"(x0 * 9.162185) * (0.9137298 - x0)"
9,0.85815215,"(((1.0009463 - x0) * x0) * 13.146123) - 1.1988616"
10,0.17027861,"exp(((x0 * 25.99442) * (1.0163518 - x0)) - 5.6005945)"
12,0.05866255,"exp((((x0 * (0.98459536 - x0)) * 35.241764) - 7.2749066) + 0.061745167)"
13,0.0073100985,"exp(((x0 * (2.09972 - (x0 * exp(x0)))) - 0.5370689) / 0.07374146)"
14,0.0032665995,"exp(((x0 - 0.62324595) * ((2.1214466 - (x0 * 5.946705)) / 0.119046)) + x0)"
16,0.0032587214,"exp((((x0 + -0.62312907) * (((x0 + x0) * -3.881337) - -2.7703173)) * 6.454143) + x0)"
18,0.0032583403,"exp(((x0 + -0.62312907) * (((-3.881337 * (x0 + x0)) - -2.7703173) * 6.454143)) + (1.0006831 * x0))"
20,0.0032558902,"exp(((((((x0 + x0) - 0.20780547) * -3.9478557) - -2.8235593) * ((-0.53858715 + x0) * 4.4878983)) + 0.9244205) / 0.7061043)"
22,0.0032558625,"exp((((((((x0 + x0) - 0.20780547) * -3.9478557) - -2.8235593) * ((x0 + -0.53858715) * 4.4878983)) + 0.9244205) / 0.7061043) - 0.000108787266)"
26,0.003255862,"exp(((((((x0 + (x0 - 0.20780547)) * -3.9478557) - -2.8235593) * ((x0 + -0.53858715) * 4.4878983)) + 0.9244205) / 0.7061043) - ((0.000108787266 + x0) - x0))"
27,0.0032556867,"exp((x0 + (x0 + ((x0 + -0.45406434) * ((((((x0 + x0) * -4.462735) - -4.3046045) * 5.6268883) - 0.2082377) + 0.4112449)))) + -0.08463151) * exp(x0)"
