Complexity,Loss,Equation
1,1.8263993,"0.99920243"
4,1.8263981,"exp(x0 * -0.0020791702)"
5,1.7677195,"1.3327057 - (x0 * x0)"
6,1.6850171,"exp(x0 * (0.8612231 - x0))"
7,1.0174297,"(x0 * 9.202549) * (0.9130126 - x0)"
9,0.85929614,"((x0 - (x0 * x0)) * 13.167526) + -1.1931943"
10,0.0032764627,"exp((0.66634494 - x0) * ((x0 + -0.33362716) * 50.01316))"
12,0.003275372,"exp(((0.46423468 - x0) * ((x0 + -0.5356118) * 49.9856)) + 1.3203903)"
14,0.0032751786,"exp((((0.46423468 - x0) * ((x0 + -0.5356118) * 49.984745)) + 1.3212069) / 1.0006185)"
18,0.0032751684,"exp(((((0.46423468 - x0) * (-0.5356118 + x0)) * (49.9856 - (x0 / 49.9856))) + 1.3212069) / 1.0006185)"
20,0.003275096,"exp(((49.9856 - ((8.2909773e-10 - (x0 + x0)) * -0.041901186)) * ((x0 + -0.535566) * (0.46425104 - x0))) + 1.3203884)"
24,0.0032740764,"exp(((0.66634494 - x0) * (50.52204 + (exp((x0 + x0) * x0) - (x0 + (exp(1.1868391) * x0))))) * (x0 + -0.33362716))"
25,0.0032729625,"exp(((0.46451908 - x0) * ((x0 + -0.5354105) * (49.9856 - (x0 / ((x0 * 49.449986) - exp((x0 + -0.53544044) * 49.9856)))))) + 1.3211527)"
26,0.0032721292,"exp((((0.46451908 - x0) * (x0 + -0.5354105)) * (49.9856 - (x0 / ((exp(-0.92619103) * 49.449986) - exp((x0 + -0.53544044) * 49.9856))))) + 1.3211527)"
