Complexity,Loss,Equation
1,0.2573964,"E_f"
3,0.25636226,"(E_f + -0.032150887)"
5,0.23269287,"((F_x * v) * -0.13210958)"
7,0.21093583,"((E_x * v) * (-0.17546085 * F_u))"
9,0.06677843,"(-0.7664993 * ((F_x * v) - (F_u * E_f)))"
11,0.057735626,"(-0.7664993 * ((F_x * (v - -0.017158708)) - (F_u * E_f)))"
13,0.05284374,"(-0.7664993 * (((F_x - 0.3997271) * (v - -0.017158708)) - (F_u * E_f)))"
15,0.051237054,"(-0.7664993 * ((((F_x - 0.3997271) * (v - -0.017158708)) * 1.0782734) - (F_u * E_f)))"
17,0.049933475,"(-0.7664993 * ((((F_x - 0.3997271) * (v - -0.017158708)) - ((F_u * E_f) - E_f)) / 0.91382426))"
19,0.049641,"(-0.7664993 * (((((F_x - 0.3997271) + E_f) * (v - -0.017158708)) - ((F_u * E_f) / 1.0470449)) / 0.91382426))"
