Complexity,Loss,Equation
1,0.2573964,"E_f"
3,0.25636226,"(E_f - 0.032151505)"
5,0.23264991,"((v * -0.12700616) * F_x)"
7,0.21075742,"(((v * F_u) * E_x) * -0.16539551)"
9,0.19269763,"(-0.13061012 * ((F_x + (E_x * F_u)) * v))"
11,0.06677875,"((v * -0.76745874) * (F_x - (E_f / (v / F_u))))"
13,0.06178157,"((v * -0.7829722) * ((-0.49862224 - (E_f / (v / F_u))) + F_x))"
15,0.057669114,"((v * -0.7145071) * ((((0.10365671 * E_x) - (E_f / v)) * F_u) + F_x))"
17,0.053756777,"((v * -0.73467374) * (((((0.09547631 * E_x) - (E_f / v)) * F_u) - 0.4790034) + F_x))"
19,0.05101992,"(((v * -0.75702953) * ((((0.08913674 * E_x) - (E_f / v)) * F_u) + (F_x + -0.47870567))) - E_f)"
